Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Brazil
950890 - Other,"125,206",1.70,0.00,1,,1,,Brazil
,2011,"2,733,331",2.17,0.14,62,,41,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","180,194",2.09,0.47,18,,8,,Brazil
950410 - Video games of a kind used with a television receiver,"1,517",0.00,0.00,1,,,,Brazil
950420 - Articles and accessories for billiards of all kinds,"79,789",0.00,0.00,1,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","576,650",0.00,0.00,3,,,,Brazil
950440 - Playing cards,"285,457",2.70,0.00,1,,1,,Brazil
950490 - Other,"407,424",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"159,398",1.35,0.00,2,,1,,Brazil
950590 - Other,"97,565",2.70,0.00,1,,1,,Brazil
950611 -- Skis,"2,603",3.70,0.00,4,,4,,Brazil
950612 -- Ski-fastenings (ski-bindings),"1,044",3.70,0.00,1,,1,,Brazil
950619 -- Other,682,2.70,0.00,1,,1,,Brazil
950621 -- Sailboards,"4,287",2.70,0.00,1,,1,,Brazil
950629 -- Other,"244,143",2.70,0.00,1,,1,,Brazil
"950631 -- Clubs, complete",,2.70,0.00,1,,1,,Brazil
950632 -- Balls,,2.70,0.00,1,,1,,Brazil
950639 -- Other,"4,677",2.70,0.00,2,,2,,Brazil
950640 - Articles and equipment for table-tennis,,2.70,0.00,1,,1,,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung",278,4.70,0.00,1,,1,,Brazil
950659 -- Other,"4,844",2.70,0.00,1,,1,,Brazil
950661 -- Lawn-tennis balls,,2.70,0.00,1,,1,,Brazil
950662 -- Inflatable,"231,712",2.70,0.00,1,,1,,Brazil
950669 -- Other,"51,212",1.35,0.00,2,,1,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached",,1.80,0.00,3,,2,,Brazil
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","94,531",2.70,0.00,2,,2,,Brazil
950699 -- Other,"224,516",1.35,0.00,2,,1,,Brazil
950710 - Fishing rods,"3,299",3.70,0.00,1,,1,,Brazil
"950720 - Fish-hooks, whether or not snelled",139,2.70,0.00,2,,2,,Brazil
950730 - Fishing reels,334,3.70,0.00,1,,1,,Brazil
950790 - Other,"9,452",3.70,0.00,1,,1,,Brazil
950810 - Travelling circuses and travelling menageries,,1.70,0.00,1,,1,,Brazil
950890 - Other,"67,582",1.70,0.00,1,,1,,Brazil
,2010,"3,880,775",2.12,2.12,66,,,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","286,311",2.09,2.09,18,,,,Brazil
950410 - Video games of a kind used with a television receiver,"7,729",0.00,0.00,1,,,,Brazil
950420 - Articles and accessories for billiards of all kinds,"50,032",0.00,0.00,2,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","1,669,176",0.00,0.00,4,,,,Brazil
950440 - Playing cards,"213,597",2.70,2.70,1,,,,Brazil
950490 - Other,"501,446",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"102,477",1.35,1.35,2,,,,Brazil
950590 - Other,"17,685",2.70,2.70,1,,,,Brazil
950611 -- Skis,,3.70,3.70,4,,,,Brazil
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Brazil
950619 -- Other,,2.70,2.70,1,,,,Brazil
950621 -- Sailboards,,2.70,2.70,1,,,,Brazil
950629 -- Other,"252,745",2.70,2.70,1,,,,Brazil
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Brazil
950632 -- Balls,,2.70,2.70,1,,,,Brazil
950639 -- Other,,2.70,2.70,2,,,,Brazil
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung",782,4.70,4.70,1,,,,Brazil
950659 -- Other,"22,842",2.70,2.70,1,,,,Brazil
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Brazil
950662 -- Inflatable,"286,656",2.70,2.70,2,,,,Brazil
950669 -- Other,"38,154",1.35,1.35,2,,,,Brazil
"950670 - Ice skates and roller skates, including skating boots with skates attached","1,882",1.80,1.80,3,,,,Brazil
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","109,794",2.70,2.70,2,,,,Brazil
950699 -- Other,"249,073",1.35,1.35,2,,,,Brazil
950710 - Fishing rods,437,3.70,3.70,1,,,,Brazil
"950720 - Fish-hooks, whether or not snelled",,2.70,2.70,2,,,,Brazil
950730 - Fishing reels,,3.70,3.70,1,,,,Brazil
950790 - Other,"7,755",3.70,3.70,1,,,,Brazil
950810 - Travelling circuses and travelling menageries,,1.70,1.70,1,,,,Brazil
950890 - Other,"62,202",1.70,1.70,1,,,,Brazil
,2009,"4,462,286",2.12,2.12,66,,,,Brazil
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","1,602,890",2.09,2.09,18,,,,Brazil
950410 - Video games of a kind used with a television receiver,265,0.00,0.00,1,,,,Brazil
950420 - Articles and accessories for billiards of all kinds,"120,204",0.00,0.00,2,,,,Brazil
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","675,041",0.00,0.00,4,,,,Brazil
950440 - Playing cards,"539,397",2.70,2.70,1,,,,Brazil
950490 - Other,"317,066",0.00,0.00,2,,,,Brazil
950510 - Articles for Christmas festivities,"156,232",1.35,1.35,2,,,,Brazil
950590 - Other,"76,379",2.70,2.70,1,,,,Brazil
950611 -- Skis,"3,640",3.70,3.70,4,,,,Brazil
950612 -- Ski-fastenings (ski-bindings),,3.70,3.70,1,,,,Brazil
950619 -- Other,488,2.70,2.70,1,,,,Brazil
950621 -- Sailboards,"3,389",2.70,2.70,1,,,,Brazil
950629 -- Other,"304,624",2.70,2.70,1,,,,Brazil
"950631 -- Clubs, complete",558,2.70,2.70,1,,,,Brazil
950632 -- Balls,,2.70,2.70,1,,,,Brazil
950639 -- Other,,2.70,2.70,2,,,,Brazil
950640 - Articles and equipment for table-tennis,,2.70,2.70,2,,,,Brazil
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Brazil
950659 -- Other,"88,277",2.70,2.70,1,,,,Brazil
950661 -- Lawn-tennis balls,"1,255",2.70,2.70,1,,,,Brazil
950662 -- Inflatable,"108,808",2.70,2.70,2,,,,Brazil
