Importer,Year,Value,Ad val. duties,Number of lines,Brazil
,(US$),Simple average,MFN duties,Pref. duties,Brazil
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Brazil
880110 - Gliders and hang gliders,,20.00,20.00,1,,,,Brazil
880190 - Other,,20.00,20.00,2,,,,Brazil
"880211 -- Of an unladen weight not exceeding 2,000 kg",,20.00,20.00,1,,,,Brazil
"880212 -- Of an unladen weight exceeding 2,000 kg",,20.00,20.00,1,,,,Brazil
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Brazil
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,20.00,20.00,1,,,,Brazil
880310 - Propellers and rotors and parts thereof,,3.00,3.00,1,,,,Brazil
880320 - Under-carriages and parts thereof,,3.00,3.00,1,,,,Brazil
880330 - Other parts of airplanes or helicopters,,3.00,3.00,1,,,,Brazil
880390 - Other,,20.00,20.00,1,,,,Brazil
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,,20.00,20.00,2,,,,Brazil
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,,20.00,20.00,3,,,,Brazil
880521 -- Air combat simulators and parts thereof,,20.00,20.00,1,,,,Brazil
880529 -- Other,,20.00,20.00,1,,,,Brazil
,2003,,18.40,18.40,20,,,,Brazil
880110 - Gliders and hang gliders,,25.00,25.00,1,,,,Brazil
880190 - Other,,25.00,25.00,2,,,,Brazil
"880211 -- Of an unladen weight not exceeding 2,000 kg",,25.00,25.00,1,,,,Brazil
"880212 -- Of an unladen weight exceeding 2,000 kg",,25.00,25.00,1,,,,Brazil
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg",,3.00,3.00,1,,,,Brazil
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg",,3.00,3.00,1,,,,Brazil
