Importer,Year,Value,Ad val. duties,Number of lines,"Korea, Republic of"
,(US$),Simple average,MFN duties,Pref. duties,"Korea, Republic of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Korea, Republic of"
391000 Silicones in primary forms.,"27,224,369",6.50,0.00,1,,1,,"Korea, Republic of"
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes","117,383,736",6.50,0.00,1,,1,,"Korea, Republic of"
391190 - Other,"19,201,333",3.30,0.00,5,,3,,"Korea, Republic of"
391211 - - Non-plasticised,"108,343",6.50,0.00,1,,1,,"Korea, Republic of"
391212 - - Plasticised,"15,286",6.50,0.00,1,,1,,"Korea, Republic of"
391220 - Cellulose nitrates (including collodions),"206,791",6.33,0.00,3,,3,,"Korea, Republic of"
391231 - - Carboxymethylcellulose and its salts,"191,068",6.50,0.00,1,,1,,"Korea, Republic of"
391239 - - Other,"49,922,981",3.25,0.00,2,,1,,"Korea, Republic of"
391290 - Other,"5,565,269",6.45,0.00,2,,2,,"Korea, Republic of"
"391310 - Alginic acid, its salts and esters","68,487",5.00,0.00,1,,1,,"Korea, Republic of"
391390 - Other,"2,173,430",6.50,0.00,1,,1,,"Korea, Republic of"
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.","1,158,100",6.50,0.00,1,,1,,"Korea, Republic of"
391510 - Of polymers of ethylene,"3,848",6.50,0.00,1,,1,,"Korea, Republic of"
391520 - Of polymers of styrene,"6,632",6.50,0.00,1,,1,,"Korea, Republic of"
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,"Korea, Republic of"
391590 - Of other plastics,"810,406",6.50,0.00,2,,2,,"Korea, Republic of"
391610 - Of polymers of ethylene,"25,371",6.50,0.00,1,,1,,"Korea, Republic of"
391620 - Of polymers of vinyl chloride,"283,434",6.50,0.00,1,,1,,"Korea, Republic of"
391690 - Of other plastics,"4,221,576",6.50,0.00,3,,3,,"Korea, Republic of"
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,"8,467",5.90,0.00,2,,2,,"Korea, Republic of"
391721 - - Of polymers of ethylene,"392,943",6.50,0.00,2,,2,,"Korea, Republic of"
391722 - - Of polymers of propylene,"234,788",6.50,0.00,2,,2,,"Korea, Republic of"
391723 - - Of polymers of vinyl chloride,"1,426,861",6.50,0.00,2,,2,,"Korea, Republic of"
391729 - - Of other plastics,"8,209,643",6.50,0.00,1,,1,,"Korea, Republic of"
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa","2,231,253",6.50,0.00,1,,1,,"Korea, Republic of"
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings","5,272,755",6.50,0.00,1,,1,,"Korea, Republic of"
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings","701,973",6.50,0.00,1,,1,,"Korea, Republic of"
391739 - - Other,"8,081,718",6.50,0.00,1,,1,,"Korea, Republic of"
391740 - Fittings,"10,453,653",6.50,0.00,1,,1,,"Korea, Republic of"
391810 - Of polymers of vinyl chloride,"100,737,630",6.50,0.00,2,,2,,"Korea, Republic of"
391890 - Of other plastics,"1,930,345",6.50,0.00,1,,1,,"Korea, Republic of"
391910 - In rolls of a width not exceeding 20 cm,"23,032,817",6.35,0.00,4,,4,,"Korea, Republic of"
391990 - Other,"65,798,792",3.25,0.00,2,,1,,"Korea, Republic of"
392010 - Of polymers of ethylene,"22,101,766",4.64,0.00,7,,5,,"Korea, Republic of"
392020 - Of polymers of propylene,"36,743,333",6.50,0.00,3,,3,,"Korea, Republic of"
392030 - Of polymers of styrene,"3,615,883",6.50,0.00,1,,1,,"Korea, Republic of"
392043 - - Containing by weight not less than 6 % of plasticisers,"17,601,674",6.50,0.00,2,,2,,"Korea, Republic of"
392049 - - Other,"5,916,451",6.50,0.00,2,,2,,"Korea, Republic of"
392051 - - Of poly(methyl methacrylate),"65,194,549",6.50,0.00,1,,1,,"Korea, Republic of"
392059 - - Other,"205,081",3.25,0.00,2,,1,,"Korea, Republic of"
392061 - - Of polycarbonates,"3,955,093",6.50,0.00,1,,1,,"Korea, Republic of"
392062 - - Of poly(ethylene terephthalate),"92,499,344",4.33,0.00,3,,2,,"Korea, Republic of"
392063 - - Of unsaturated polyesters,"91,498",6.50,0.00,1,,1,,"Korea, Republic of"
392069 - - Of other polyesters,"4,142,648",6.50,0.00,1,,1,,"Korea, Republic of"
392071 - - Of regenerated cellulose,"5,695,881",6.50,0.00,1,,1,,"Korea, Republic of"
392073 - - Of cellulose acetate,"37,352",6.40,0.00,2,,2,,"Korea, Republic of"
392079 - - Of other cellulose derivatives,"8,834",6.10,0.00,2,,2,,"Korea, Republic of"
392091 - - Of poly(vinyl butyral),"77,501",6.10,0.00,1,,1,,"Korea, Republic of"
392092 - - Of polyamides,"17,875,775",6.50,0.00,1,,1,,"Korea, Republic of"
392093 - - Of amino-resins,,6.50,0.00,1,,1,,"Korea, Republic of"
392094 - - Of phenolic resins,17,6.50,0.00,1,,1,,"Korea, Republic of"
392099 - - Of other plastics,"18,480,766",3.25,0.00,6,,3,,"Korea, Republic of"
392111 - - Of polymers of styrene,"1,469,920",6.50,0.00,1,,1,,"Korea, Republic of"
392112 - - Of polymers of vinyl chloride,"3,700,841",6.50,0.00,1,,1,,"Korea, Republic of"
392113 - - Of polyurethanes,"3,038,139",6.50,0.00,2,,2,,"Korea, Republic of"
392114 - - Of regenerated cellulose,"1,238",6.50,0.00,1,,1,,"Korea, Republic of"
392119 - - Of other plastics,"26,247,056",6.50,0.00,1,,1,,"Korea, Republic of"
392190 - Other,"45,954,166",6.50,0.00,8,,8,,"Korea, Republic of"
"392210 - Baths, shower-baths, sinks and wash-basins","264,578",6.50,0.00,1,,1,,"Korea, Republic of"
392220 - Lavatory seats and covers,"309,181",6.50,0.00,1,,1,,"Korea, Republic of"
392290 - Other,"566,739",6.50,0.00,1,,1,,"Korea, Republic of"
"392310 - Boxes, cases, crates and similar articles","12,189,921",3.25,0.00,2,,1,,"Korea, Republic of"
392321 - - Of polymers of ethylene,"4,140,798",6.50,0.00,1,,1,,"Korea, Republic of"
392329 - - Of other plastics,"3,368,863",6.50,0.00,2,,2,,"Korea, Republic of"
"392330 - Carboys, bottles, flasks and similar articles","28,891,766",6.50,0.00,2,,2,,"Korea, Republic of"
"392340 - Spools, cops, bobbins and similar supports","1,306,731",5.90,0.00,2,,2,,"Korea, Republic of"
"392350 - Stoppers, lids, caps and other closures","13,598,294",6.50,0.00,2,,2,,"Korea, Republic of"
392390 - Other,"13,361,246",6.50,0.00,1,,1,,"Korea, Republic of"
392410 - Tableware and kitchenware,"4,297,152",6.50,0.00,1,,1,,"Korea, Republic of"
392490 - Other,"3,176,370",6.50,0.00,1,,1,,"Korea, Republic of"
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l","407,279",6.50,0.00,1,,1,,"Korea, Republic of"
"392520 - Doors, windows and their frames and thresholds for doors","20,737,482",6.50,0.00,1,,1,,"Korea, Republic of"
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof","708,857",6.50,0.00,1,,1,,"Korea, Republic of"
392590 - Other,"14,392,761",6.50,0.00,3,,3,,"Korea, Republic of"
392610 - Office or school supplies,"459,895",6.50,0.00,1,,1,,"Korea, Republic of"
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)","707,367",6.50,0.00,1,,1,,"Korea, Republic of"
"392630 - Fittings for furniture, coachwork or the like","62,628,133",6.50,0.00,1,,1,,"Korea, Republic of"
392640 - Statuettes and other ornamental articles,"983,408",6.50,0.00,1,,1,,"Korea, Republic of"
392690 - Other,"181,223,413",6.50,0.00,3,,3,,"Korea, Republic of"
,2016,"3,200,738,514",5.53,0.00,205,,176,,"Korea, Republic of"
390110 - Polyethylene having a specific gravity of less than 0.94,"300,628,237",6.50,0.00,2,,2,,"Korea, Republic of"
