Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
390690 - Other,"2,074,980",0.93,0.00,7,,1,,India
390710 - Polyacetals,"61,321",6.50,2.20,1,,1,,India
390720 - Other polyethers,"2,079,031",4.88,0.00,4,,3,,India
390730 - Epoxide resins,"19,559,838",6.50,0.00,1,,1,,India
390740 - Polycarbonates,"1,165,515",6.50,0.00,1,,1,,India
390750 - Alkyd resins,"499,020",6.50,0.00,1,,1,,India
390761 - - Having a viscosity number of 78 ml/g or higher,"159,610,540",6.50,0.00,1,,1,,India
390769 - - Other,"26,675,906",6.50,3.00,1,,1,,India
390770 - Poly(lactic acid),"2,290",0.00,0.00,1,,,,India
390791 - - Unsaturated,"5,266,218",6.50,0.00,2,,2,,India
390799 - - Other,"2,468,434",3.80,1.47,3,,2,,India
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","677,106",6.50,2.20,1,,1,,India
390890 - Other,"1,962,781",6.50,2.20,1,,1,,India
390910 - Urea resins; thiourea resins,"737,457",6.50,0.00,1,,1,,India
390920 - Melamine resins,"1,609,276",6.50,0.00,1,,1,,India
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)","1,368",6.50,0.00,1,,1,,India
390939 - - Other,"187,659",6.50,0.00,1,,1,,India
390940 - Phenolic resins,"17,748,455",6.50,0.00,1,,1,,India
390950 - Polyurethanes,"5,046,367",3.25,0.00,2,,1,,India
391000 Silicones in primary forms.,"3,354,953",6.50,0.00,1,,1,,India
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes","6,400,802",6.50,0.00,1,,1,,India
391190 - Other,"22,832,143",3.30,0.00,5,,3,,India
391211 - - Non-plasticised,"933,137",6.50,0.00,1,,1,,India
391212 - - Plasticised,"214,178",6.50,0.00,1,,1,,India
391220 - Cellulose nitrates (including collodions),"7,198,484",6.33,0.00,3,,3,,India
391231 - - Carboxymethylcellulose and its salts,"4,102,893",6.50,0.00,1,,1,,India
391239 - - Other,"2,852,062",3.25,0.00,2,,1,,India
391290 - Other,"5,371,853",6.45,0.00,2,,2,,India
"391310 - Alginic acid, its salts and esters","13,944",5.00,0.00,1,,1,,India
391390 - Other,"1,136,836",6.50,0.00,1,,1,,India
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.","11,143,525",6.50,0.00,1,,1,,India
391510 - Of polymers of ethylene,"14,203",6.50,0.00,1,,1,,India
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,India
391530 - Of polymers of vinyl chloride,"2,439",6.50,0.00,1,,1,,India
391590 - Of other plastics,"1,628,011",6.50,0.00,2,,2,,India
391610 - Of polymers of ethylene,"124,606",6.50,0.00,1,,1,,India
391620 - Of polymers of vinyl chloride,"358,044",6.50,0.00,1,,1,,India
391690 - Of other plastics,"8,114,076",6.50,0.00,3,,3,,India
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,"35,227",5.90,0.00,2,,2,,India
391721 - - Of polymers of ethylene,"2,632,966",6.50,0.00,2,,2,,India
391722 - - Of polymers of propylene,"503,771",6.50,0.00,2,,2,,India
391723 - - Of polymers of vinyl chloride,"4,084,401",6.50,0.00,2,,2,,India
391729 - - Of other plastics,"1,522,916",6.50,0.00,1,,1,,India
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa","7,316,912",6.50,0.00,1,,1,,India
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings","1,239,029",6.50,0.00,1,,1,,India
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings","156,462",6.50,0.00,1,,1,,India
391739 - - Other,"2,416,555",6.50,0.00,1,,1,,India
391740 - Fittings,"8,682,460",6.50,0.00,1,,1,,India
391810 - Of polymers of vinyl chloride,"1,359,372",6.50,0.00,2,,2,,India
391890 - Of other plastics,"1,930,601",6.50,0.00,1,,1,,India
391910 - In rolls of a width not exceeding 20 cm,"14,311,516",6.35,0.00,4,,4,,India
391990 - Other,"9,093,910",3.25,0.00,2,,1,,India
392010 - Of polymers of ethylene,"9,211,405",4.64,2.14,7,,5,,India
392020 - Of polymers of propylene,"50,876,369",6.50,3.00,3,,3,,India
392030 - Of polymers of styrene,"348,036",6.50,3.00,1,,1,,India
392043 - - Containing by weight not less than 6 % of plasticisers,"67,107",6.50,3.00,2,,2,,India
392049 - - Other,"1,058,498",6.50,3.00,2,,2,,India
392051 - - Of poly(methyl methacrylate),"56,090",6.50,3.00,1,,1,,India
392059 - - Other,"51,485",3.25,1.50,2,,1,,India
392061 - - Of polycarbonates,"194,319",6.50,3.00,1,,1,,India
392062 - - Of poly(ethylene terephthalate),"104,140,892",4.33,2.00,3,,2,,India
392063 - - Of unsaturated polyesters,"11,608",6.50,3.00,1,,1,,India
392069 - - Of other polyesters,"5,709,462",6.50,3.00,1,,1,,India
392071 - - Of regenerated cellulose,"25,242",6.50,3.00,1,,1,,India
392073 - - Of cellulose acetate,"392,963",6.40,2.90,2,,2,,India
392079 - - Of other cellulose derivatives,"132,795",6.10,2.60,2,,2,,India
392091 - - Of poly(vinyl butyral),"52,976",6.10,2.60,1,,1,,India
392092 - - Of polyamides,"179,598",6.50,3.00,1,,1,,India
392093 - - Of amino-resins,,6.50,3.00,1,,1,,India
392094 - - Of phenolic resins,,6.50,3.00,1,,1,,India
392099 - - Of other plastics,"5,830,979",3.25,1.50,6,,3,,India
392111 - - Of polymers of styrene,"497,145",6.50,0.00,1,,1,,India
392112 - - Of polymers of vinyl chloride,"8,401,900",6.50,0.00,1,,1,,India
392113 - - Of polyurethanes,"111,916",6.50,0.00,2,,2,,India
392114 - - Of regenerated cellulose,,6.50,0.00,1,,1,,India
392119 - - Of other plastics,"11,742,917",6.50,0.00,1,,1,,India
392190 - Other,"62,948,716",6.50,0.38,8,,8,,India
"392210 - Baths, shower-baths, sinks and wash-basins","3,117,554",6.50,0.00,1,,1,,India
392220 - Lavatory seats and covers,"73,719",6.50,0.00,1,,1,,India
392290 - Other,"437,390",6.50,0.00,1,,1,,India
"392310 - Boxes, cases, crates and similar articles","5,872,856",3.25,0.00,2,,1,,India
392321 - - Of polymers of ethylene,"33,707,506",6.50,3.00,1,,1,,India
392329 - - Of other plastics,"48,214,011",6.50,0.00,2,,2,,India
"392330 - Carboys, bottles, flasks and similar articles","3,257,061",6.50,0.00,2,,2,,India
"392340 - Spools, cops, bobbins and similar supports","447,617",5.90,0.00,2,,2,,India
"392350 - Stoppers, lids, caps and other closures","8,513,830",6.50,0.00,2,,2,,India
392390 - Other,"15,774,381",6.50,0.00,1,,1,,India
392410 - Tableware and kitchenware,"25,688,866",6.50,0.00,1,,1,,India
392490 - Other,"14,317,727",6.50,0.00,1,,1,,India
"392510 - Reservoirs, tanks, vats and similar containers, of a capacity exceeding 300 l","50,250",6.50,0.00,1,,1,,India
"392520 - Doors, windows and their frames and thresholds for doors","62,222",6.50,0.00,1,,1,,India
"392530 - Shutters, blinds (including Venetian blinds) and similar articles and parts thereof","5,300",6.50,0.00,1,,1,,India
392590 - Other,"3,485,883",6.50,0.00,3,,3,,India
392610 - Office or school supplies,"2,468,268",6.50,0.00,1,,1,,India
"392620 - Articles of apparel and clothing accessories (including gloves, mittens and mitts)","3,747,447",6.50,0.00,1,,1,,India
"392630 - Fittings for furniture, coachwork or the like","5,784,900",6.50,0.00,1,,1,,India
392640 - Statuettes and other ornamental articles,"1,741,965",6.50,0.00,1,,1,,India
392690 - Other,"99,824,805",6.50,0.00,3,,3,,India
,2016,"936,490,863",5.53,0.90,205,,176,,India
390110 - Polyethylene having a specific gravity of less than 0.94,"2,100,840",6.50,3.00,2,,2,,India
390120 - Polyethylene having a specific gravity of 0.94 or more,"2,966,988",3.25,1.50,2,,1,,India
390130 - Ethylene-vinyl acetate copolymers,"33,692",6.50,3.00,1,,1,,India
390190 - Other,"1,042,682",3.25,1.50,2,,1,,India
390210 - Polypropylene,"78,068,680",6.50,3.00,1,,1,,India
390220 - Polyisobutylene,"687,922",6.50,3.00,1,,1,,India
390230 - Propylene copolymers,"2,555,012",6.50,3.00,1,,1,,India
390290 - Other,"179,905",2.17,1.00,3,,1,,India
390311 -- Expansible,"206,808",6.50,3.00,1,,1,,India
390319 -- Other,"34,243,973",6.50,0.00,1,,1,,India
390320 - Styrene-acrylonitrile (SAN) copolymers,,6.50,3.00,1,,1,,India
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,"478,152",6.50,3.00,1,,1,,India
390390 - Other,"1,077,779",2.17,1.00,3,,1,,India
"390410 - Poly(vinyl chloride), not mixed with any other substances","166,251",6.50,3.00,1,,1,,India
390421 -- Non-plasticised,"6,826",6.50,3.00,1,,1,,India
390422 -- Plasticised,"5,307",6.50,3.00,1,,1,,India
390430 - Vinyl chloride-vinyl acetate copolymers,"55,998",6.50,3.00,1,,1,,India
390440 - Other vinyl chloride copolymers,,6.50,3.00,1,,1,,India
390450 - Vinylidene chloride polymers,"12,723",3.25,1.50,2,,1,,India
390461 -- Polytetrafluoroethylene,"28,706,781",6.50,3.00,1,,1,,India
390469 -- Other,"206,471",4.33,2.00,3,,2,,India
390490 - Other,"430,389",6.50,3.00,1,,1,,India
390512 -- In aqueous dispersion,"119,607",6.50,0.00,1,,1,,India
390519 -- Other,"2,953,312",6.50,0.00,1,,1,,India
