Importer,Year,Value,Ad val. duties,Number of lines,"Saudi Arabia, Kingdom of"
,(US$),Simple average,MFN duties,Pref. duties,"Saudi Arabia, Kingdom of"
,MFN,Best,All items,Non ad val.,All items,Non ad val.,"Saudi Arabia, Kingdom of"
610832 - - Of man-made fibres,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610839 - - Of other textile materials,105,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610891 - - Of cotton,"1,848",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610892 - - Of man-made fibres,72,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610899 - - Of other textile materials,229,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610910 - Of cotton,"108,744",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
610990 - Of other textile materials,"38,120",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
611011 - - Of wool,"22,726",11.50,11.50,3,,,,"Saudi Arabia, Kingdom of"
611012 - - Of Kashmir (cashmere) goats,"15,114",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
611019 - - Other,"5,871",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
611020 - Of cotton,"116,332",12.00,12.00,3,,,,"Saudi Arabia, Kingdom of"
611030 - Of man-made fibres,"501,826",12.00,12.00,3,,,,"Saudi Arabia, Kingdom of"
611090 - Of other textile materials,"7,044",12.00,12.00,2,,,,"Saudi Arabia, Kingdom of"
611120 - Of cotton,"31,219",10.45,10.45,2,,,,"Saudi Arabia, Kingdom of"
611130 - Of synthetic fibres,"2,856",10.45,10.45,2,,,,"Saudi Arabia, Kingdom of"
611190 - Of other textile materials,"1,442",10.97,10.97,3,,,,"Saudi Arabia, Kingdom of"
611211 - - Of cotton,168,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611212 - - Of synthetic fibres,30,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611219 - - Of other textile materials,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611220 - Ski suits,,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611231 - - Of synthetic fibres,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611239 - - Of other textile materials,,10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611241 - - Of synthetic fibres,"3,197",10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611249 - - Of other textile materials,"9,213",10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.","12,702",10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
611420 - Of cotton,"4,137",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611430 - Of man-made fibres,"54,947",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611490 - Of other textile materials,"80,374",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)","130,257",10.00,10.00,2,,,,"Saudi Arabia, Kingdom of"
"611521 - - Of synthetic fibres, measuring per single yarn less than 67 decitex",2,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
"611522 - - Of synthetic fibres, measuring per single yarn 67 decitex or more",2,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611529 - - Of other textile materials,145,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",20,12.00,12.00,3,,,,"Saudi Arabia, Kingdom of"
611594 - - Of wool or fine animal hair,1,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611595 - - Of cotton,"1,921",12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
611596 - - Of synthetic fibres,950,12.00,12.00,3,,,,"Saudi Arabia, Kingdom of"
611599 - - Of other textile materials,359,12.00,12.00,1,,,,"Saudi Arabia, Kingdom of"
"611610 - Impregnated, coated or covered with plastics or rubber",192,8.45,8.45,2,,,,"Saudi Arabia, Kingdom of"
611691 - - Of wool or fine animal hair,,8.90,8.90,1,,,,"Saudi Arabia, Kingdom of"
611692 - - Of cotton,,8.90,8.90,1,,,,"Saudi Arabia, Kingdom of"
611693 - - Of synthetic fibres,10,8.90,8.90,1,,,,"Saudi Arabia, Kingdom of"
