Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","5,504,848",10.00,10.00,4,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"126,855",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","95,514",10.00,10.00,1,,,,European Union
950440 - Playing cards,"7,748",10.00,10.00,1,,,,European Union
"950450 -Video game consoles and machines, other than those of subheading 9504.30",632,10.00,10.00,1,,,,European Union
950490 - Other,"3,056,005",10.00,10.00,3,,,,European Union
950510 - Articles for Christmas festivities,"68,272",10.00,10.00,1,,,,European Union
950590 - Other,"134,844",10.00,10.00,2,,,,European Union
950611 -- Skis,"33,759",0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),"6,540",0.00,0.00,1,,,,European Union
950619 -- Other,"6,347",0.00,0.00,1,,,,European Union
950621 -- Sailboards,"27,451",0.00,0.00,1,,,,European Union
950629 -- Other,"1,271,258",0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete",577,10.00,10.00,1,,,,European Union
950632 -- Balls,"1,778",10.00,10.00,1,,,,European Union
950639 -- Other,"16,212",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"230,849",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","137,500",10.00,10.00,1,,,,European Union
950659 -- Other,"195,113",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,"11,779",10.00,10.00,1,,,,European Union
950662 -- Inflatable,"40,662",10.00,10.00,4,,,,European Union
950669 -- Other,"122,271",10.00,10.00,5,,,,European Union
"950670 - Ice skates and roller skates, including skating boots with skates attached","357,898",10.00,10.00,1,,,,European Union
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","3,569,773",10.00,10.00,2,,,,European Union
950699 -- Other,"6,931,736",10.00,10.00,9,,,,European Union
950710 - Fishing rods,"2,867",10.00,10.00,1,,,,European Union
"950720 - Fish-hooks, whether or not snelled","12,422",10.00,10.00,1,,,,European Union
950730 - Fishing reels,,10.00,10.00,1,,,,European Union
950790 - Other,"55,283",10.00,10.00,2,,,,European Union
950810 - Travelling circuses and travelling menageries,,10.00,10.00,1,,,,European Union
950890 - Other,"24,253,032",10.00,10.00,1,,,,European Union
,2011,"32,760,921",9.09,9.09,55,,,,European Union
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","6,413,841",10.00,10.00,4,,,,European Union
950420 - Articles and accessories for billiards of all kinds,"149,549",10.00,10.00,1,,,,European Union
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by any other means of payment, other than automatic bowling alley equipment","994,622",10.00,10.00,1,,,,European Union
950440 - Playing cards,"75,889",10.00,10.00,1,,,,European Union
"950450 -Video game consoles and machines, other than those of subheading 9504.30","2,919,984",10.00,10.00,1,,,,European Union
950490 - Other,"7,011,230",10.00,10.00,3,,,,European Union
950510 - Articles for Christmas festivities,"70,757",10.00,10.00,1,,,,European Union
950590 - Other,"332,523",10.00,10.00,2,,,,European Union
950611 -- Skis,"12,167",0.00,0.00,1,,,,European Union
950612 -- Ski-fastenings (ski-bindings),"3,677",0.00,0.00,1,,,,European Union
950619 -- Other,"181,498",0.00,0.00,1,,,,European Union
950621 -- Sailboards,"1,918",0.00,0.00,1,,,,European Union
950629 -- Other,"399,133",0.00,0.00,1,,,,European Union
"950631 -- Clubs, complete","16,881",10.00,10.00,1,,,,European Union
950632 -- Balls,"1,404",10.00,10.00,1,,,,European Union
950639 -- Other,"51,579",10.00,10.00,1,,,,European Union
950640 - Articles and equipment for table-tennis,"259,340",10.00,10.00,1,,,,European Union
"950651 -- Lawn-tennis rackets, whether or not strung","281,503",10.00,10.00,1,,,,European Union
950659 -- Other,"531,751",10.00,10.00,2,,,,European Union
950661 -- Lawn-tennis balls,"54,412",10.00,10.00,1,,,,European Union
950662 -- Inflatable,"200,422",10.00,10.00,4,,,,European Union
