Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
610899 -- Of other textile materials,"116,601",10.00,10.00,3,,,,China
610910 - Of cotton,"5,123,916",,,1,1,,,China
610990 - Of other textile materials,"7,476,573",,,5,5,,,China
611011 -- Of wool,"686,317",,,3,3,,,China
611012 -- Of Kashmir (cashmere) goats,"43,073",,,1,1,,,China
611019 -- Other,"41,494",,,1,1,,,China
611020 - Of cotton,"3,336,347",,,1,1,,,China
611030 - Of man-made fibres,"5,173,241",,,2,2,,,China
611090 - Of other textile materials,"358,713",,,1,1,,,China
611120 - Of cotton,"4,051,067",10.00,10.00,1,,,,China
611130 - Of synthetic fibres,"726,220",10.00,10.00,1,,,,China
611190 - Of other textile materials,"5,089,344",10.00,10.00,3,,,,China
611211 -- Of cotton,"208,777",10.00,10.00,1,,,,China
611212 -- Of synthetic fibres,"52,206",10.00,10.00,1,,,,China
611219 -- Of other textile materials,"342,847",10.00,10.00,4,,,,China
611220 - Ski suits,"104,895",10.00,10.00,6,,,,China
611231 -- Of synthetic fibres,"115,547",10.00,10.00,1,,,,China
611239 -- Of other textile materials,"205,471",10.00,10.00,3,,,,China
611241 -- Of synthetic fibres,"631,332",10.00,10.00,1,,,,China
611249 -- Of other textile materials,"644,228",10.00,10.00,3,,,,China
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.","62,087",10.00,10.00,1,,,,China
611420 - Of cotton,"69,290",10.00,10.00,1,,,,China
611430 - Of man-made fibres,"3,875,218",10.00,10.00,2,,,,China
611490 - Of other textile materials,"69,783",10.00,10.00,2,,,,China
"611510 - Graduated compression hosiery (for example, stockings for varicose veins)","1,450,745",10.00,10.00,1,,,,China
"611521 -- Of synthetic fibres, measuring per single yarn less than 67 decitex","10,303",10.00,10.00,1,,,,China
"611522 -- Of synthetic fibres, measuring per single yarn 67 decitex or more","35,436",10.00,10.00,1,,,,China
611529 -- Of other textile materials,"4,329,104",10.00,10.00,4,,,,China
"611530 - Other women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex","915,570",10.00,10.00,1,,,,China
611594 -- Of wool or fine animal hair,282,10.00,10.00,1,,,,China
611595 -- Of cotton,"521,414",10.00,10.00,1,,,,China
611596 -- Of synthetic fibres,"567,916",10.00,10.00,1,,,,China
611599 -- Of other textile materials,"16,537,316",10.00,10.00,2,,,,China
"611610 - Impregnated, coated or covered with plastics or rubber","3,087,311",10.00,10.00,1,,,,China
611691 -- Of wool or fine animal hair,"44,649",10.00,10.00,1,,,,China
611692 -- Of cotton,"1,186,706",10.00,10.00,1,,,,China
611693 -- Of synthetic fibres,"501,266",10.00,10.00,1,,,,China
611699 -- Of other textile materials,"4,875,000",10.00,10.00,2,,,,China
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like","1,455,224",10.00,10.00,5,,,,China
611780 - Other accessories,"1,070,322",10.00,10.00,5,,,,China
611790 - Parts,"350,697",10.00,10.00,1,,,,China
,2014,"98,490,678",10.00,10.00,191,60,,,China
610120 - Of cotton,"13,887",,,1,1,,,China
610130 - Of man-made fibres,"139,376",,,2,2,,,China
610190 - Of other textile materials,"17,652",10.00,10.00,2,,,,China
610210 - Of wool or fine animal hair,106,,,1,1,,,China
610220 - Of cotton,"54,354",,,1,1,,,China
610230 - Of man-made fibres,"103,084",,,2,2,,,China
610290 - Of other textile materials,"23,879",10.00,10.00,2,,,,China
610310 - Suits,"2,989",10.00,10.00,4,,,,China
610322 -- Of cotton,359,10.00,10.00,1,,,,China
610323 -- Of synthetic fibres,"175,974",10.00,10.00,1,,,,China
610329 -- Of other textile materials,"80,254",10.00,10.00,3,,,,China
610331 -- Of wool or fine animal hair,"2,698",10.00,10.00,1,,,,China
610332 -- Of cotton,"260,326",10.00,10.00,1,,,,China
