Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
"081030 - Black, white or red currants and gooseberries","26,339",10.00,10.00,1,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","354,233",10.00,10.00,1,,,,United States of America
081050 - Kiwifruit,,10.00,10.00,1,,,,United States of America
081060 - Durians,,10.00,10.00,1,,,,United States of America
081070 - Persimmons,,10.00,10.00,1,,,,United States of America
081090 - Other,"915,155",10.00,10.00,1,,,,United States of America
081110 - Strawberries,,10.00,10.00,1,,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries",,10.00,10.00,1,,,,United States of America
081190 - Other,,10.00,10.00,1,,,,United States of America
081210 - Cherries,,10.00,10.00,1,,,,United States of America
081290 - Other,,10.00,10.00,1,,,,United States of America
081310 - Apricots,233,10.00,10.00,1,,,,United States of America
081320 - Prunes,"75,333",10.00,10.00,2,,,,United States of America
081330 - Apples,,10.00,10.00,1,,,,United States of America
081340 - Other fruit,"232,721",10.00,10.00,2,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,"657,946",10.00,10.00,1,,,,United States of America
