Importer,Year,Value,Ad val. duties,Number of lines,China
,(US$),Simple average,MFN duties,Pref. duties,China
,MFN,Best,All items,Non ad val.,All items,Non ad val.,China
610130 - Of man-made fibres,"132,662,230",12.00,12.00,2,,,,China
610190 - Of other textile materials,"11,984,087",12.00,12.00,2,,,,China
610210 - Of wool or fine animal hair,"19,686,908",12.00,12.00,2,,,,China
610220 - Of cotton,"78,409,656",12.00,12.00,2,,,,China
610230 - Of man-made fibres,"283,539,380",12.00,12.00,2,,,,China
610290 - Of other textile materials,"6,797,361",12.00,12.00,2,,,,China
610310 - Suits,"9,305,625",12.00,12.00,2,,,,China
610322 -- Of cotton,"4,453,165",12.00,12.00,1,,,,China
610323 -- Of synthetic fibres,"17,430,107",12.00,12.00,1,,,,China
610329 -- Of other textile materials,"1,447,315",12.00,12.00,1,,,,China
610331 -- Of wool or fine animal hair,"2,976,891",12.00,12.00,1,,,,China
610332 -- Of cotton,"28,844,908",12.00,12.00,1,,,,China
610333 -- Of synthetic fibres,"72,034,404",12.00,12.00,1,,,,China
610339 -- Of other textile materials,"8,184,679",12.00,12.00,1,,,,China
610341 -- Of wool or fine animal hair,"1,493,842",12.00,12.00,1,,,,China
610342 -- Of cotton,"131,927,633",12.00,12.00,1,,,,China
610343 -- Of synthetic fibres,"144,152,673",12.00,12.00,1,,,,China
610349 -- Of other textile materials,"13,487,149",12.00,12.00,1,,,,China
610413 -- Of synthetic fibres,"4,034,603",12.00,12.00,1,,,,China
610419 -- Of other textile materials,"6,863,369",12.00,12.00,2,,,,China
610422 -- Of cotton,"10,358,490",12.00,12.00,1,,,,China
610423 -- Of synthetic fibres,"13,187,686",12.00,12.00,1,,,,China
610429 -- Of other textile materials,"5,836,736",12.00,12.00,2,,,,China
610431 -- Of wool or fine animal hair,"8,292,637",12.00,12.00,1,,,,China
610432 -- Of cotton,"37,320,323",12.00,12.00,1,,,,China
610433 -- Of synthetic fibres,"130,743,991",12.00,12.00,1,,,,China
610439 -- Of other textile materials,"21,590,068",12.00,12.00,1,,,,China
610441 -- Of wool or fine animal hair,"26,320,865",12.00,12.00,1,,,,China
610442 -- Of cotton,"117,186,494",12.00,12.00,1,,,,China
610443 -- Of synthetic fibres,"364,729,283",12.00,12.00,1,,,,China
610444 -- Of artificial fibres,"140,351,505",12.00,12.00,1,,,,China
610449 -- Of other textile materials,"29,576,761",12.00,12.00,1,,,,China
610451 -- Of wool or fine animal hair,"2,302,820",12.00,12.00,1,,,,China
610452 -- Of cotton,"18,200,236",12.00,12.00,1,,,,China
610453 -- Of synthetic fibres,"72,060,941",12.00,12.00,1,,,,China
610459 -- Of other textile materials,"24,750,981",12.00,12.00,1,,,,China
610461 -- Of wool or fine animal hair,"4,292,442",12.00,12.00,1,,,,China
610462 -- Of cotton,"276,025,058",12.00,12.00,1,,,,China
610463 -- Of synthetic fibres,"403,952,927",12.00,12.00,1,,,,China
610469 -- Of other textile materials,"72,965,048",12.00,12.00,1,,,,China
610510 - Of cotton,"190,049,230",12.00,12.00,1,,,,China
610520 - Of man-made fibres,"68,064,824",12.00,12.00,2,,,,China
