Importer,Year,Value,Ad val. duties,Number of lines,South Africa
,(US$),Simple average,MFN duties,Pref. duties,South Africa
,MFN,Best,All items,Non ad val.,All items,Non ad val.,South Africa
390130 - Ethylene-vinyl acetate copolymers,"75,342",6.50,0.00,1,,1,,South Africa
"390140 - Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94","1,031",6.50,0.00,1,,1,,South Africa
390190 - Other,"11,163",3.25,0.00,2,,1,,South Africa
390210 - Polypropylene,"51,953,781",6.50,0.00,1,,1,,South Africa
390220 - Polyisobutylene,,6.50,0.00,1,,1,,South Africa
390230 - Propylene copolymers,"12,018,630",6.50,0.00,1,,1,,South Africa
390290 - Other,"103,752",2.17,0.00,3,,1,,South Africa
390311 - - Expansible,"2,183",6.50,0.00,1,,1,,South Africa
390319 - - Other,"2,327",6.50,0.00,1,,1,,South Africa
390320 - Styrene-acrylonitrile (SAN) copolymers,6,6.50,0.00,1,,1,,South Africa
390330 - Acrylonitrile-butadiene-styrene (ABS) copolymers,"1,835",6.50,0.00,1,,1,,South Africa
390390 - Other,"182,961",2.17,0.00,3,,1,,South Africa
"390410 - Poly(vinyl chloride), not mixed with any other substances","132,634",6.50,0.00,1,,1,,South Africa
390421 - - Non-plasticised,,6.50,0.00,1,,1,,South Africa
390422 - - Plasticised,"1,796",6.50,0.00,1,,1,,South Africa
390430 - Vinyl chloride-vinyl acetate copolymers,,6.50,0.00,1,,1,,South Africa
390440 - Other vinyl chloride copolymers,,6.50,0.00,1,,1,,South Africa
390450 - Vinylidene chloride polymers,,3.25,0.00,2,,1,,South Africa
390461 - - Polytetrafluoroethylene,32,6.50,0.00,1,,1,,South Africa
390469 - - Other,403,4.33,0.00,3,,2,,South Africa
390490 - Other,"8,695",6.50,0.00,1,,1,,South Africa
390512 - - In aqueous dispersion,,6.50,0.00,1,,1,,South Africa
390519 - - Other,190,6.50,0.00,1,,1,,South Africa
390521 - - In aqueous dispersion,,6.50,0.00,1,,1,,South Africa
390529 - - Other,3,6.50,0.00,1,,1,,South Africa
"390530 - Poly(vinyl alcohol), whether or not containing unhydrolysed acetate groups",87,6.50,0.00,1,,1,,South Africa
390591 - - Copolymers,72,6.50,0.00,1,,1,,South Africa
390599 - - Other,"18,355",3.25,0.00,2,,1,,South Africa
390610 - Poly(methyl methacrylate),"26,800",6.50,0.00,1,,1,,South Africa
390690 - Other,"769,662",0.93,0.00,7,,1,,South Africa
390710 - Polyacetals,344,6.50,0.00,1,,1,,South Africa
390720 - Other polyethers,"180,948",4.88,0.00,4,,3,,South Africa
390730 - Epoxide resins,"76,991",6.50,0.00,1,,1,,South Africa
390740 - Polycarbonates,"29,694",6.50,0.00,1,,1,,South Africa
390750 - Alkyd resins,1,6.50,0.00,1,,1,,South Africa
390761 - - Having a viscosity number of 78 ml/g or higher,"977,600",6.50,0.00,1,,1,,South Africa
390769 - - Other,"611,961",6.50,0.00,1,,1,,South Africa
390770 - Poly(lactic acid),"1,555",0.00,0.00,1,,,,South Africa
390791 - - Unsaturated,"334,239",6.50,0.00,2,,2,,South Africa
390799 - - Other,"59,509",3.80,0.00,3,,2,,South Africa
"390810 - Polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,12","310,500",6.50,0.00,1,,1,,South Africa
390890 - Other,"3,783",6.50,0.00,1,,1,,South Africa
390910 - Urea resins; thiourea resins,"2,387",6.50,0.00,1,,1,,South Africa
390920 - Melamine resins,,6.50,0.00,1,,1,,South Africa
"390931 - - Poly(methylene phenyl isocyanate) (crude MDI, polymeric MDI)","2,801",6.50,0.00,1,,1,,South Africa
390939 - - Other,"16,163",6.50,0.00,1,,1,,South Africa
390940 - Phenolic resins,"1,478,579",6.50,0.00,1,,1,,South Africa
390950 - Polyurethanes,"39,154",3.25,0.00,2,,1,,South Africa
391000 Silicones in primary forms.,"21,131",6.50,0.00,1,,1,,South Africa
"391110 - Petroleum resins, coumarone, indene or coumarone-indene resins and polyterpenes","16,164",6.50,0.00,1,,1,,South Africa
391190 - Other,"226,475",3.30,0.00,5,,3,,South Africa
391211 - - Non-plasticised,227,6.50,0.00,1,,1,,South Africa
391212 - - Plasticised,,6.50,0.00,1,,1,,South Africa
391220 - Cellulose nitrates (including collodions),"2,161,797",6.33,0.00,3,,3,,South Africa
391231 - - Carboxymethylcellulose and its salts,"89,617",6.50,0.00,1,,1,,South Africa
391239 - - Other,"76,979",3.25,0.00,2,,1,,South Africa
391290 - Other,"19,992",6.45,0.00,2,,2,,South Africa
"391310 - Alginic acid, its salts and esters","43,997",5.00,0.00,1,,1,,South Africa
391390 - Other,"51,884",6.50,0.00,1,,1,,South Africa
"391400 Ion-exchangers based on polymers of headings 39.01 to 39.13, in primary forms.",137,6.50,0.00,1,,1,,South Africa
391510 - Of polymers of ethylene,"19,367",6.50,0.00,1,,1,,South Africa
391520 - Of polymers of styrene,,6.50,0.00,1,,1,,South Africa
391530 - Of polymers of vinyl chloride,,6.50,0.00,1,,1,,South Africa
391590 - Of other plastics,"221,125",6.50,0.00,2,,2,,South Africa
391610 - Of polymers of ethylene,,6.50,0.00,1,,1,,South Africa
391620 - Of polymers of vinyl chloride,"3,809",6.50,0.00,1,,1,,South Africa
391690 - Of other plastics,"203,945",6.50,0.00,3,,3,,South Africa
391710 - Artificial guts (sausage casings) of hardened protein or of cellulosic materials,1,5.90,0.00,2,,2,,South Africa
391721 - - Of polymers of ethylene,"338,713",6.50,0.00,2,,2,,South Africa
391722 - - Of polymers of propylene,566,6.50,0.00,2,,2,,South Africa
391723 - - Of polymers of vinyl chloride,"7,187",6.50,0.00,2,,2,,South Africa
391729 - - Of other plastics,"271,740",6.50,0.00,1,,1,,South Africa
"391731 - - Flexible tubes, pipes and hoses, having a minimum burst pressure of 27.6 MPa","2,919",6.50,0.00,1,,1,,South Africa
"391732 - - Other, not reinforced or otherwise combined with other materials, without fittings","161,748",6.50,0.00,1,,1,,South Africa
"391733 - - Other, not reinforced or otherwise combined with other materials, with fittings","1,805",6.50,0.00,1,,1,,South Africa
391739 - - Other,"93,612",6.50,0.00,1,,1,,South Africa
391740 - Fittings,"355,819",6.50,0.00,1,,1,,South Africa
391810 - Of polymers of vinyl chloride,"154,123",6.50,0.00,2,,2,,South Africa
391890 - Of other plastics,"64,472",6.50,0.00,1,,1,,South Africa
391910 - In rolls of a width not exceeding 20 cm,"112,475",6.35,0.00,4,,4,,South Africa
391990 - Other,"461,564",3.25,0.00,2,,1,,South Africa
392010 - Of polymers of ethylene,"97,232",4.64,0.00,7,,5,,South Africa
392020 - Of polymers of propylene,"712,174",6.50,0.00,3,,3,,South Africa
392030 - Of polymers of styrene,"3,446",6.50,0.00,1,,1,,South Africa
392043 - - Containing by weight not less than 6 % of plasticisers,"50,867",6.50,0.00,2,,2,,South Africa
392049 - - Other,"33,097",6.50,0.00,2,,2,,South Africa
392051 - - Of poly(methyl methacrylate),"33,326",6.50,0.00,1,,1,,South Africa
392059 - - Other,8,3.25,0.00,2,,1,,South Africa
392061 - - Of polycarbonates,"10,841",6.50,0.00,1,,1,,South Africa
392062 - - Of poly(ethylene terephthalate),"425,722",4.33,0.00,3,,2,,South Africa
392063 - - Of unsaturated polyesters,,6.50,0.00,1,,1,,South Africa
392069 - - Of other polyesters,"70,848",6.50,0.00,1,,1,,South Africa
392071 - - Of regenerated cellulose,,6.50,0.00,1,,1,,South Africa
392073 - - Of cellulose acetate,354,6.40,0.00,2,,2,,South Africa
392079 - - Of other cellulose derivatives,"1,832",6.10,0.00,2,,2,,South Africa
392091 - - Of poly(vinyl butyral),"24,852",6.10,0.00,1,,1,,South Africa
392092 - - Of polyamides,114,6.50,0.00,1,,1,,South Africa
392093 - - Of amino-resins,,6.50,0.00,1,,1,,South Africa
392094 - - Of phenolic resins,,6.50,0.00,1,,1,,South Africa
392099 - - Of other plastics,"16,562",3.25,0.00,6,,3,,South Africa
392111 - - Of polymers of styrene,,6.50,0.00,1,,1,,South Africa
392112 - - Of polymers of vinyl chloride,48,6.50,0.00,1,,1,,South Africa
392113 - - Of polyurethanes,"491,136",6.50,0.00,2,,2,,South Africa
392114 - - Of regenerated cellulose,,6.50,0.00,1,,1,,South Africa
392119 - - Of other plastics,"77,384",6.50,0.00,1,,1,,South Africa
392190 - Other,"6,637,902",6.50,0.00,8,,8,,South Africa
"392210 - Baths, shower-baths, sinks and wash-basins","2,179,975",6.50,0.00,1,,1,,South Africa
392220 - Lavatory seats and covers,"216,752",6.50,0.00,1,,1,,South Africa
392290 - Other,"27,674",6.50,0.00,1,,1,,South Africa
"392310 - Boxes, cases, crates and similar articles","645,222",3.25,0.00,2,,1,,South Africa
392321 - - Of polymers of ethylene,"435,423",6.50,0.00,1,,1,,South Africa
392329 - - Of other plastics,"1,736,173",6.50,0.00,2,,2,,South Africa
