Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,14.00,14.00,1,,,,India
871631 - - Tanker trailers and tanker semi-trailers,,35.00,35.00,1,,,,India
871639 - - Other,,35.00,35.00,1,,,,India
871640 - Other trailers and semi-trailers,,35.00,35.00,1,,,,India
871680 - Other vehicles,"1,266",35.00,35.00,1,,,,India
871690 - Parts,"36,440",16.00,16.00,2,,,,India
,2016,"105,642,612",22.13,22.13,141,,,,India
870110 - Pedestrian controlled tractors,,14.00,14.00,1,,,,India
870120 - Road tractors for semi-trailers,,35.00,35.00,1,,,,India
870130 -Track-laying tractors,,14.00,14.00,1,,,,India
870190 - Other,"20,317",7.00,7.00,2,,,,India
870210 -With compression-ignition internal combustion piston engine (diesel or semi-diesel),,35.00,35.00,1,,,,India
870290 - Other,,35.00,35.00,2,,,,India
870310 -Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,35.00,35.00,1,,,,India
"870321 -- Of a cylinder capacity not exceeding 1,000 cc","9,879",35.00,35.00,1,,,,India
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc",,35.00,35.00,2,,,,India
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc",,35.00,35.00,2,,,,India
"870324 -- Of a cylinder capacity exceeding 3,000 cc",,35.00,35.00,2,,,,India
"870331 -- Of a cylinder capacity not exceeding 1,500 cc",,35.00,35.00,2,,,,India
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,35.00,35.00,2,,,,India
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,35.00,35.00,2,,,,India
870390 - Other,,35.00,35.00,1,,,,India
870410 - Dumpers designed for off-highway use,,7.00,7.00,2,,,,India
870421 -- g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,India
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,35.00,35.00,4,,,,India
870423 -- g.v.w. exceeding 20 tonnes,,35.00,35.00,4,,,,India
870431 -- g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,India
870432 -- g.v.w. exceeding 5 tonnes,,35.00,35.00,4,,,,India
870490 - Other,,35.00,35.00,1,,,,India
870510 - Crane lorries,,17.50,17.50,2,,,,India
870520 -Mobile drilling derricks,,35.00,35.00,1,,,,India
870530 - Fire fighting vehicles,,35.00,35.00,1,,,,India
870540 - Concrete-mixer lorries,,35.00,35.00,1,,,,India
870590 - Other,,18.50,18.50,2,,,,India
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.",,28.00,28.00,3,,,,India
870710 - For the vehicles of heading 87.03,,35.00,35.00,1,,,,India
870790 - Other,,24.50,24.50,2,,,,India
870810 - Bumpers and parts thereof,"144,324",18.00,18.00,1,,,,India
870821 -- Safety seat belts,"394,634",18.00,18.00,1,,,,India
870829 -- Other,"13,945,396",14.73,14.73,11,,,,India
870830 - Brakes and servo-brakes; parts thereof,"5,959,608",16.67,16.67,3,,,,India
870840 - Gear boxes and parts thereof,"31,321,860",12.50,12.50,4,,,,India
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof","10,287,399",13.00,13.00,6,,,,India
870870 - Road wheels and parts and accessories thereof,"1,427,897",16.00,16.00,2,,,,India
870880 - Suspension systems and parts thereof (including shock- absorbers),"4,115,468",18.00,18.00,1,,,,India
870891 -- Radiators and parts thereof,"744,555",18.00,18.00,1,,,,India
870892 -- Silencers (mufflers) and exhaust pipes; parts thereof,"965,150",18.00,18.00,1,,,,India
870893 -- Clutches and parts thereof,"996,213",18.00,18.00,1,,,,India
"870894 -- Steering wheels, steering columns and steering boxes; parts thereof","6,873,363",16.29,16.29,7,,,,India
870895 -- Safety airbags with inflater system; parts thereof,319,10.00,10.00,4,,,,India
870899 -- Other,"22,884,138",9.00,9.00,2,,,,India
870911 -- Electrical,,14.00,14.00,1,,,,India
870919 -- Other,,14.00,14.00,1,,,,India
870990 - Parts,"1,605",14.00,14.00,1,,,,India
"871000 Tanks and other armoured fighting vehicles, motorised, whether or not fitted with weapons, and parts of such vehicles.",,0.00,0.00,1,,,,India
871110 -With reciprocating internal combustion piston engine of a cylinder capacity not exceeding 50 cc,,20.00,20.00,1,,,,India
871120 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,"1,735",20.00,20.00,3,,,,India
871130 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,"36,137",20.00,20.00,1,,,,India
871140 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,"17,136",20.00,20.00,1,,,,India
871150 -With reciprocating internal combustion piston engine of a cylinder capacity exceeding 800 cc,,20.00,20.00,1,,,,India
871190 - Other,,20.00,20.00,1,,,,India
"871200 Bicycles and other cycles (including delivery tricycles), not motorised.",,20.00,20.00,2,,,,India
871310 - Not mechanically propelled,,12.00,12.00,1,,,,India
871390 - Other,,2.00,2.00,1,,,,India
871410 - Of motorcycles (including mopeds),"4,018,177",16.00,16.00,1,,,,India
871420 - Of carriages for disabled persons,,10.00,10.00,1,,,,India
"871491 -- Frames and forks, and parts thereof",92,16.00,16.00,1,,,,India
871492 -- Wheel rims and spokes,,16.00,16.00,1,,,,India
"871493 -- Hubs, other than coaster braking hubs and hub brakes, and free- wheel sprocket-wheels","377,492",16.00,16.00,2,,,,India
"871494 -- Brakes, including coaster braking hubs and hub brakes, and parts thereof","280,952",16.00,16.00,2,,,,India
871495 -- Saddles,"41,429",16.00,16.00,1,,,,India
"871496 -- Pedals and crank-gear, and parts thereof",,16.00,16.00,1,,,,India
871499 -- Other,"726,898",16.00,16.00,2,,,,India
871500 Baby carriages and parts thereof.,,20.00,20.00,1,,,,India
"871610 -Trailers and semi-trailers of the caravan type, for housing or camping",,20.00,20.00,1,,,,India
871620 - Self-loading or self-unloading trailers and semi-trailers for agricultural purposes,,14.00,14.00,1,,,,India
871631 -- Tanker trailers and tanker semi-trailers,,35.00,35.00,1,,,,India
871639 -- Other,,35.00,35.00,1,,,,India
871640 - Other trailers and semi-trailers,,35.00,35.00,1,,,,India
871680 - Other vehicles,193,35.00,35.00,1,,,,India
871690 - Parts,"50,246",16.00,16.00,2,,,,India
,2015,"166,407,003",22.13,22.13,141,,,,India
870110 - Pedestrian controlled tractors,,14.00,14.00,1,,,,India
870120 - Road tractors for semi-trailers,,35.00,35.00,1,,,,India
870130 -Track-laying tractors,,14.00,14.00,1,,,,India
870190 - Other,"219,881",7.00,7.00,2,,,,India
870210 -With compression-ignition internal combustion piston engine (diesel or semi-diesel),,35.00,35.00,1,,,,India
870290 - Other,,35.00,35.00,2,,,,India
870310 -Vehicles specially designed for travelling on snow; golf cars and similar vehicles,,35.00,35.00,1,,,,India
"870321 -- Of a cylinder capacity not exceeding 1,000 cc","121,806",35.00,35.00,1,,,,India
"870322 -- Of a cylinder capacity exceeding 1,000 cc but not exceeding 1,500 cc","634,215",35.00,35.00,2,,,,India
"870323 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 3,000 cc","311,478",35.00,35.00,2,,,,India
"870324 -- Of a cylinder capacity exceeding 3,000 cc",,35.00,35.00,2,,,,India
"870331 -- Of a cylinder capacity not exceeding 1,500 cc","207,649",35.00,35.00,2,,,,India
"870332 -- Of a cylinder capacity exceeding 1,500 cc but not exceeding 2,500 cc",,35.00,35.00,2,,,,India
"870333 -- Of a cylinder capacity exceeding 2,500 cc",,35.00,35.00,2,,,,India
870390 - Other,,35.00,35.00,1,,,,India
870410 - Dumpers designed for off-highway use,,7.00,7.00,2,,,,India
870421 -- g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,India
870422 -- g.v.w. exceeding 5 tonnes but not exceeding 20 tonnes,,35.00,35.00,4,,,,India
870423 -- g.v.w. exceeding 20 tonnes,,35.00,35.00,4,,,,India
870431 -- g.v.w. not exceeding 5 tonnes,,35.00,35.00,4,,,,India
870432 -- g.v.w. exceeding 5 tonnes,,35.00,35.00,4,,,,India
870490 - Other,,35.00,35.00,1,,,,India
870510 - Crane lorries,,17.50,17.50,2,,,,India
870520 -Mobile drilling derricks,,35.00,35.00,1,,,,India
870530 - Fire fighting vehicles,,35.00,35.00,1,,,,India
870540 - Concrete-mixer lorries,,35.00,35.00,1,,,,India
870590 - Other,,18.50,18.50,2,,,,India
"870600 Chassis fitted with engines, for the motor vehicles of headings 87.01 to 87.05.","344,829",28.00,28.00,3,,,,India
870710 - For the vehicles of heading 87.03,,35.00,35.00,1,,,,India
870790 - Other,,24.50,24.50,2,,,,India
870810 - Bumpers and parts thereof,"294,980",18.00,18.00,1,,,,India
870821 -- Safety seat belts,"1,122,991",18.00,18.00,1,,,,India
870829 -- Other,"8,825,597",14.73,14.73,11,,,,India
870830 - Brakes and servo-brakes; parts thereof,"9,868,633",16.67,16.67,3,,,,India
870840 - Gear boxes and parts thereof,"73,690,804",12.50,12.50,4,,,,India
"870850 - Drive-axles with differential, whether or not provided with other transmission components, and non-driving axles; parts thereof","11,772,046",13.00,13.00,6,,,,India
