Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
610821 -- Of cotton,,10.00,10.00,1,,,,United States of America
610822 -- Of man-made fibres,,10.00,10.00,1,,,,United States of America
610829 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610831 -- Of cotton,,10.00,10.00,1,,,,United States of America
610832 -- Of man-made fibres,,10.00,10.00,1,,,,United States of America
610839 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610891 -- Of cotton,,10.00,10.00,1,,,,United States of America
610892 -- Of man-made fibres,,10.00,10.00,1,,,,United States of America
610899 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
610910 - Of cotton,,10.00,10.00,1,,,,United States of America
610990 - Of other textile materials,,10.00,10.00,1,,,,United States of America
611011 -- Of wool,,10.00,10.00,1,,,,United States of America
611012 -- Of Kashmir (cashmere) goats,,10.00,10.00,1,,,,United States of America
611019 -- Other,,10.00,10.00,1,,,,United States of America
611020 - Of cotton,,10.00,10.00,1,,,,United States of America
611030 - Of man-made fibres,,10.00,10.00,1,,,,United States of America
611090 - Of other textile materials,,10.00,10.00,1,,,,United States of America
611110 - Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
611120 - Of cotton,,10.00,10.00,1,,,,United States of America
611130 - Of synthetic fibres,,10.00,10.00,1,,,,United States of America
611190 - Of other textile materials,,10.00,10.00,1,,,,United States of America
611211 -- Of cotton,,10.00,10.00,1,,,,United States of America
611212 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
611219 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
611220 - Ski suits,,10.00,10.00,1,,,,United States of America
611231 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
611239 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
611241 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
611249 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
"611300 Garments, made up of knitted or crocheted fabrics of heading 59.03, 59.06 or 59.07.",,10.00,10.00,1,,,,United States of America
611410 - Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
611420 - Of cotton,,10.00,10.00,1,,,,United States of America
611430 - Of man-made fibres,,10.00,10.00,1,,,,United States of America
611490 - Of other textile materials,,10.00,10.00,1,,,,United States of America
"611511 -- Of synthetic fibres, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,United States of America
"611512 -- Of synthetic fibres, measuring per single yarn 67 decitex or more",,10.00,10.00,1,,,,United States of America
611519 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
"611520 - Women's full-length or knee-length hosiery, measuring per single yarn less than 67 decitex",,10.00,10.00,1,,,,United States of America
611591 -- Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
611592 -- Of cotton,,10.00,10.00,1,,,,United States of America
611593 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
611599 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
"611610 - Impregnated, coated or covered with plastics or rubber",,10.00,10.00,1,,,,United States of America
611691 -- Of wool or fine animal hair,,10.00,10.00,1,,,,United States of America
611692 -- Of cotton,,10.00,10.00,1,,,,United States of America
611693 -- Of synthetic fibres,,10.00,10.00,1,,,,United States of America
611699 -- Of other textile materials,,10.00,10.00,1,,,,United States of America
"611710 - Shawls, scarves, mufflers, mantillas, veils and the like",,10.00,10.00,1,,,,United States of America
"611720 - Ties, bow ties and cravats",,10.00,10.00,1,,,,United States of America
611780 - Other accessories,,10.00,10.00,1,,,,United States of America
611790 - Parts,,10.00,10.00,1,,,,United States of America
