Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","3,771,974",12.50,12.50,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","5,462,381",12.50,12.50,1,,,,United States of America
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","95,458,086",3.00,3.00,1,,,,United States of America
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","70,084,776",3.00,3.00,1,,,,United States of America
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg","1,415,599,723",3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,12.50,12.50,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"134,289",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"60,704",3.00,3.00,1,,,,United States of America
880330 - Other parts of airplanes or helicopters,"347,012,627",3.00,3.00,1,,,,United States of America
880390 - Other,"4,733,063",12.50,12.50,1,,,,United States of America
880400 Parachutes (including dirigible parachutes and paragliders) and rotochutes; parts thereof and accessories thereto.,"234,000",12.50,12.50,2,,,,United States of America
880510 - Aircraft launching gear and parts thereof; deck- Arrestor or similar gear and parts thereof,"3,089",12.50,12.50,3,,,,United States of America
880521 -- Air combat simulators and parts thereof,"9,346,629",12.50,12.50,1,,,,United States of America
880529 -- Other,"216,372",12.50,12.50,1,,,,United States of America
,2005,"1,933,599,020",11.40,11.40,20,,,,United States of America
880110 - Gliders and hang gliders,,15.00,15.00,1,,,,United States of America
880190 - Other,"46,240",15.00,15.00,2,,,,United States of America
"880211 -- Of an unladen weight not exceeding 2,000 kg","2,534,714",15.00,15.00,1,,,,United States of America
"880212 -- Of an unladen weight exceeding 2,000 kg","8,317,140",15.00,15.00,1,,,,United States of America
"880220 - Airplanes and other aircraft, of an unladen weight not exceeding 2,000 kg","119,948",3.00,3.00,1,,,,United States of America
"880230 - Airplanes and other aircraft, of an unladen weight exceeding 2,000 kg but not exceeding 15,000 kg","1,659,288,291",3.00,3.00,1,,,,United States of America
"880240 - Airplanes and other aircraft, of an unladen weight exceeding 15,000 kg",,3.00,3.00,1,,,,United States of America
880260 - Spacecraft (including satellites) and suborbital and spacecraft launch vehicles,,15.00,15.00,1,,,,United States of America
880310 - Propellers and rotors and parts thereof,"296,636",3.00,3.00,1,,,,United States of America
880320 - Under-carriages and parts thereof,"1,226",3.00,3.00,1,,,,United States of America
880330 - Other parts of airplanes or helicopters,"260,287,066",3.00,3.00,1,,,,United States of America
880390 - Other,"2,166,367",15.00,15.00,1,,,,United States of America
