Importer,Year,Value,Ad val. duties,Number of lines,Nepal
,(US$),Simple average,MFN duties,Pref. duties,Nepal
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Nepal
854160 -Mounted piezo-electric crystals,,5.00,5.00,1,,,,Nepal
854190 - Parts,,5.00,5.00,1,,,,Nepal
"854231 -- Processors and controllers, whether or not combined with memories, converters, logic circuits, amplifiers, clock and timing circuits, or other circuits",,5.00,5.00,1,,,,Nepal
854232 -- Memories,,5.00,5.00,1,,,,Nepal
854233 -- Amplifiers,,5.00,5.00,1,,,,Nepal
854239 -- Other,,5.00,5.00,1,,,,Nepal
854290 - Parts,,5.00,5.00,1,,,,Nepal
854310 - Particle accelerators,,5.00,5.00,1,,,,Nepal
854320 - Signal generators,,5.00,5.00,1,,,,Nepal
"854330 -Machines and apparatus for electroplating, electrolysis or electrophoresis",,5.00,5.00,1,,,,Nepal
854370 - Other machines and apparatus,,5.00,5.00,1,,,,Nepal
854390 - Parts,,5.00,5.00,1,,,,Nepal
854411 -- Of copper,,5.00,5.00,1,,,,Nepal
854419 -- Other,,5.00,5.00,1,,,,Nepal
854420 - Co-axial cable and other co-axial electric conductors,,5.00,5.00,1,,,,Nepal
"854430 - Ignition wiring sets and other wiring sets of a kind used in vehicles, aircraft or ships",,5.00,5.00,1,,,,Nepal
854442 -- Fitted with connectors,,5.00,5.00,1,,,,Nepal
854449 -- Other,,5.00,5.00,1,,,,Nepal
"854460 - Other electric conductors, for a voltage exceeding 1,000 V",,5.00,5.00,1,,,,Nepal
854470 - Optical fibre cables,,5.00,5.00,2,,,,Nepal
854511 -- Of a kind used for furnaces,,5.00,5.00,1,,,,Nepal
854519 -- Other,,5.00,5.00,1,,,,Nepal
854520 - Brushes,,5.00,5.00,1,,,,Nepal
854590 - Other,,5.00,5.00,1,,,,Nepal
854610 - Of glass,,5.00,5.00,1,,,,Nepal
854620 - Of ceramics,,5.00,5.00,1,,,,Nepal
854690 - Other,,5.00,5.00,1,,,,Nepal
854710 - Insulating fittings of ceramics,,5.00,5.00,1,,,,Nepal
854720 - Insulating fittings of plastics,,5.00,5.00,1,,,,Nepal
854790 - Other,,5.00,5.00,1,,,,Nepal
