Importer,Year,Value,Ad val. duties,Number of lines,India
,(US$),Simple average,MFN duties,Pref. duties,India
,MFN,Best,All items,Non ad val.,All items,Non ad val.,India
851930 -Turntables (record-decks),,5.00,5.00,1,,,,India
851950 -Telephone answering machines,,5.00,5.00,1,,,,India
"851981 -- Using magnetic, optical or semiconductor media",,5.00,5.00,1,,,,India
851989 -- Other,,5.00,5.00,1,,,,India
852110 -Magnetic tape-type,,5.00,5.00,1,,,,India
852190 - Other,,5.00,5.00,1,,,,India
852210 - Pick-up cartridges,,5.00,5.00,1,,,,India
852290 - Other,,5.00,5.00,2,,,,India
852321 -- Cards incorporating a magnetic stripe,,5.00,5.00,1,,,,India
852329 -- Other,,5.00,5.00,1,,,,India
852341 -- Unrecorded,,5.00,5.00,1,,,,India
852349 -- Other,,5.00,5.00,1,,,,India
852351 -- Solid-state non-volatile storage devices,,5.00,5.00,1,,,,India
852352 -- «Smart cards»,,5.00,5.00,1,,,,India
852359 -- Other,,5.00,5.00,1,,,,India
852380 - Other,,5.00,5.00,1,,,,India
852550 -Transmission apparatus,,5.00,5.00,1,,,,India
852560 -Transmission apparatus incorporating reception apparatus,,5.00,5.00,1,,,,India
"852580 -Television cameras, digital cameras and video camera recorders",,5.00,5.00,1,,,,India
852610 - Radar apparatus,,5.00,5.00,1,,,,India
852691 -- Radio navigational aid apparatus,,5.00,5.00,1,,,,India
852692 -- Radio remote control apparatus,,5.00,5.00,1,,,,India
852712 -- Pocket-size radio cassette-players,,5.00,5.00,1,,,,India
852713 -- Other apparatus combined with sound recording or reproducing apparatus,,5.00,5.00,1,,,,India
852719 -- Other,,5.00,5.00,1,,,,India
