Importer,Year,Value,Ad val. duties,Number of lines,European Union
,(US$),Simple average,MFN duties,Pref. duties,European Union
,MFN,Best,All items,Non ad val.,All items,Non ad val.,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","3,000",17.50,17.50,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","906,000",17.50,17.50,1,,,,European Union
170310 - Cane molasses,,17.50,17.50,1,,,,European Union
170390 - Other,,17.50,17.50,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","43,000",21.50,21.50,1,,,,European Union
170490 - Other,"753,000",21.50,21.50,3,,,,European Union
,2002,"4,475,612",18.23,18.23,22,,,,European Union
170111 -- Cane sugar,,17.50,17.50,1,,,,European Union
170112 -- Beet sugar,,17.50,17.50,1,,,,European Union
170191 -- Containing added flavouring or colouring matter,643,17.50,17.50,1,,,,European Union
170199 -- Other,"9,048",17.50,17.50,1,,,,European Union
"170211 -- Containing by weight 99% or more lactose, expressed as anhydrous lactose, calculated on the dry matter","1,579,873",17.50,17.50,1,,,,European Union
170219 -- Other,"297,958",17.50,17.50,1,,,,European Union
170220 - Maple sugar and maple syrup,"1,084",17.50,17.50,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20% by weight of fructose","426,543",17.50,17.50,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20% but less than 50% by weight of fructose, excluding invert sugar",,17.50,17.50,2,,,,European Union
170250 - Chemically pure fructose,"55,456",17.50,17.50,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50% by weight of fructose, excluding invert sugar","22,836",17.50,17.50,2,,,,European Union
"170290 - Other, including invert sugar and other sugar and sugar syrup blends containing in the dry state 50% by weight of fructose","926,971",17.50,17.50,1,,,,European Union
170310 - Cane molasses,531,17.50,17.50,1,,,,European Union
170390 - Other,,17.50,17.50,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","37,644",21.50,21.50,1,,,,European Union
170490 - Other,"1,117,025",21.50,21.50,3,,,,European Union
,2001,"6,605,241",19.23,19.23,22,,,,European Union
170111 - - Cane sugar,196,18.50,18.50,1,,,,European Union
170112 - - Beet sugar,,18.50,18.50,1,,,,European Union
170191 - - Containing added flavouring or colouring matter,707,18.50,18.50,1,,,,European Union
170199 - - Other,"11,340",18.50,18.50,1,,,,European Union
"170211 - - Containing by weight 99 % or more lactose, expressed as anhydrous lactose, calculated on the dry matter","2,084,183",18.50,18.50,1,,,,European Union
170219 - - Other,"543,281",18.50,18.50,1,,,,European Union
170220 - Maple sugar and maple syrup,"4,424",18.50,18.50,1,,,,European Union
"170230 - Glucose and glucose syrup, not containing fructose or containing in the dry state less than 20 % by weight of fructose","411,817",18.50,18.50,3,,,,European Union
"170240 - Glucose and glucose syrup, containing in the dry state at least 20 % but less than 50 % by weight of fructose",,18.50,18.50,2,,,,European Union
170250 - Chemically pure fructose,"157,868",18.50,18.50,1,,,,European Union
"170260 - Other fructose and fructose syrup, containing in the dry state more than 50 % by weight of fructose","16,871",18.50,18.50,2,,,,European Union
"170290 - Other, including invert sugar","253,705",18.50,18.50,1,,,,European Union
170310 - Cane molasses,,18.50,18.50,1,,,,European Union
170390 - Other,,18.50,18.50,1,,,,European Union
"170410 - Chewing gum, whether or not sugar-coated","220,415",22.50,22.50,1,,,,European Union
170490 - Other,"2,900,434",22.50,22.50,3,,,,European Union
,2000,"11,950,076",19.73,19.73,22,,,,European Union
