Importer,Year,Value,Ad val. duties,Number of lines,Russian Federation
,(US$),Simple average,MFN duties,Pref. duties,Russian Federation
,MFN,Best,All items,Non ad val.,All items,Non ad val.,Russian Federation
,2009,"17,945,176",2.12,2.12,66,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,219,699",2.09,2.09,18,,,,Russian Federation
950410 - Video games of a kind used with a television receiver,"13,320",0.00,0.00,1,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"39,682",0.00,0.00,2,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","9,455,461",0.00,0.00,4,,,,Russian Federation
950440 - Playing cards,"4,477",2.70,2.70,1,,,,Russian Federation
950490 - Other,"956,847",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"164,545",1.35,1.35,2,,,,Russian Federation
950590 - Other,"46,558",2.70,2.70,1,,,,Russian Federation
950611 -- Skis,"1,336,790",3.70,3.70,4,,,,Russian Federation
950612 -- Ski-fastenings (ski-bindings),237,3.70,3.70,1,,,,Russian Federation
950619 -- Other,"963,918",2.70,2.70,1,,,,Russian Federation
950621 -- Sailboards,84,2.70,2.70,1,,,,Russian Federation
950629 -- Other,"4,965",2.70,2.70,1,,,,Russian Federation
"950631 -- Clubs, complete",,2.70,2.70,1,,,,Russian Federation
950632 -- Balls,56,2.70,2.70,1,,,,Russian Federation
950639 -- Other,,2.70,2.70,2,,,,Russian Federation
950640 - Articles and equipment for table-tennis,600,2.70,2.70,2,,,,Russian Federation
"950651 -- Lawn-tennis rackets, whether or not strung",,4.70,4.70,1,,,,Russian Federation
950659 -- Other,865,2.70,2.70,1,,,,Russian Federation
950661 -- Lawn-tennis balls,,2.70,2.70,1,,,,Russian Federation
950662 -- Inflatable,"5,133",2.70,2.70,2,,,,Russian Federation
950669 -- Other,237,1.35,1.35,2,,,,Russian Federation
"950670 - Ice skates and roller skates, including skating boots with skates attached","16,919",1.80,1.80,3,,,,Russian Federation
"950691 -- Articles and equipment for general physical exercise, gymnastics or athletics","829,250",2.70,2.70,2,,,,Russian Federation
950699 -- Other,"1,622,083",1.35,1.35,2,,,,Russian Federation
950710 - Fishing rods,"19,513",3.70,3.70,1,,,,Russian Federation
"950720 - Fish-hooks, whether or not snelled","2,218",2.70,2.70,2,,,,Russian Federation
950730 - Fishing reels,"5,607",3.70,3.70,1,,,,Russian Federation
950790 - Other,"72,279",3.70,3.70,1,,,,Russian Federation
950810 - Travelling circuses and travelling menageries,"1,716",1.70,1.70,1,,,,Russian Federation
950890 - Other,"162,118",1.70,1.70,1,,,,Russian Federation
,2008,"23,207,837",2.12,2.12,66,,,,Russian Federation
"950300 Tricycles, scooters, pedal cars and similar wheeled toys; dolls' carriages; dolls; other toys; reduced-size (""scale"") models and similar recreational models, working or not; puzzles of all kinds.","2,356,202",2.09,2.09,18,,,,Russian Federation
950410 - Video games of a kind used with a television receiver,"448,837",0.00,0.00,1,,,,Russian Federation
950420 - Articles and accessories for billiards of all kinds,"42,026",0.00,0.00,2,,,,Russian Federation
"950430 - Other games, operated by coins, banknotes, bank cards, tokens or by other means of payment, other than bowling alley equipment","13,561,592",0.00,0.00,4,,,,Russian Federation
950440 - Playing cards,"14,736",2.70,2.70,1,,,,Russian Federation
950490 - Other,"612,502",0.00,0.00,2,,,,Russian Federation
950510 - Articles for Christmas festivities,"157,454",1.35,1.35,2,,,,Russian Federation
950590 - Other,"49,731",2.70,2.70,1,,,,Russian Federation
950611 -- Skis,"854,008",3.70,3.70,4,,,,Russian Federation
