Importer,Year,Value,Ad val. duties,Number of lines,United States of America
,(US$),Simple average,MFN duties,Pref. duties,United States of America
,MFN,Best,All items,Non ad val.,All items,Non ad val.,United States of America
080720 - Papaws (papayas),"49,774",0.00,0.00,1,,,,United States of America
080810 - Apples,"9,747,109",,,2,2,,,United States of America
080830 - Pears,"469,679",,,2,2,,,United States of America
080840 - Quinces,,7.20,7.20,1,,,,United States of America
080910 - Apricots,,,,1,1,,,United States of America
080921 -- Sour cherries (Prunus cerasus),,,,1,1,,,United States of America
080929 -- Other,"5,598,947",,,1,1,,,United States of America
"080930 - Peaches, including nectarines",,,,2,2,,,United States of America
080940 - Plums and sloes,"4,039",12.00,12.00,2,1,,,United States of America
081010 - Strawberries,"5,402,861",11.20,11.20,1,,,,United States of America
"081020 - Raspberries, blackberries, mulberries and loganberries","2,859,266",9.20,9.20,2,,,,United States of America
"081030 - Black, white or red currants and gooseberries",134,9.07,9.07,3,,,,United States of America
"081040 - Cranberries, bilberries and other fruits of the genus Vaccinium","5,448,449",4.00,4.00,4,,,,United States of America
081050 - Kiwifruit,"39,827",8.80,8.80,1,,,,United States of America
081060 - Durians,,8.80,8.80,1,,,,United States of America
081070 - Persimmons,,8.80,8.80,1,,,,United States of America
081090 - Other,"3,227,815",4.40,4.40,2,,,,United States of America
081110 - Strawberries,"533,349",17.60,17.60,3,1,,,United States of America
"081120 - Raspberries, blackberries, mulberries, loganberries, black, white or red currants and gooseberries","1,017,161",14.67,14.67,7,1,,,United States of America
081190 - Other,"13,248,479",10.75,10.75,10,2,,,United States of America
081210 - Cherries,742,8.80,8.80,1,,,,United States of America
081290 - Other,"63,518",7.16,7.16,5,,,,United States of America
081310 - Apricots,"286,689",5.60,5.60,1,,,,United States of America
081320 - Prunes,"75,435,913",9.60,9.60,1,,,,United States of America
081330 - Apples,"1,956,202",3.20,3.20,1,,,,United States of America
081340 - Other fruit,"3,641,899",3.28,3.28,5,,,,United States of America
081350 - Mixtures of nuts or dried fruits of this Chapter,"336,529",6.86,6.86,7,,,,United States of America
"081400 Peel of citrus fruit or melons (including watermelons), fresh, frozen, dried or provisionally preserved in brine, in sulphur water or in other preservative solutions.","106,636",1.60,1.60,1,,,,United States of America
,2014,"3,003,802,509",6.67,6.67,124,23,,,United States of America
080111 -- Desiccated,"69,981",0.00,0.00,1,,,,United States of America
080112 -- In the inner shell (endocarp),,0.00,0.00,1,,,,United States of America
080119 -- Other,"265,554",0.00,0.00,1,,,,United States of America
080121 -- In shell,364,0.00,0.00,1,,,,United States of America
080122 -- Shelled,"109,743",0.00,0.00,1,,,,United States of America
080131 -- In shell,"32,433",0.00,0.00,1,,,,United States of America
080132 -- Shelled,"2,373,801",0.00,0.00,1,,,,United States of America
080211 -- In shell,"21,351,831",2.80,2.80,2,,,,United States of America
080212 -- Shelled,"1,547,164,438",1.75,1.75,2,,,,United States of America
080221 -- In shell,"4,423,200",3.20,3.20,1,,,,United States of America
080222 -- Shelled,"1,372,473",3.20,3.20,1,,,,United States of America
080231 -- In shell,"167,161,187",4.00,4.00,1,,,,United States of America
080232 -- Shelled,"264,340,029",5.10,5.10,1,,,,United States of America
080241 -- In shell,,5.60,5.60,1,,,,United States of America
080242 -- Shelled,568,5.60,5.60,1,,,,United States of America
080251 -- In shell,"479,641,314",1.60,1.60,1,,,,United States of America
080252 -- Shelled,"42,343,531",1.60,1.60,1,,,,United States of America
080261 -- In shell,720,2.00,2.00,1,,,,United States of America
080262 -- Shelled,"2,101,606",2.00,2.00,1,,,,United States of America
080270 - Kola nuts (Cola spp.),,0.00,0.00,1,,,,United States of America
080280 - Areca nuts,,0.00,0.00,1,,,,United States of America
080290 - Other,"76,203,445",1.33,1.33,3,,,,United States of America
080310 - Plantains,,16.00,16.00,2,,,,United States of America
080390 - Other,"8,630",16.00,16.00,2,1,,,United States of America
080410 - Dates,"4,060,768",7.70,7.70,1,,,,United States of America
080420 - Figs,"76,072",6.80,6.80,2,,,,United States of America
